tipo_de_entidad,codigo_de_entidad,nombre_entidad,codigo_del_departamento,nombre_del_departamento,region,codigo_del_municipio,nombre_del_municipio,fecha_de_corte,cartera_de_creditos,categoria_a_riesgo_bajo_credito_de_vivienda,categoria_b_riesgo_intermedio_credito_de_vivienda,categoria_c_riesgo_alto_credito_de_vivienda,"categoria_a_riesgo_bajo_garantia_idonea,_creditos_y_leasing_de_consumo","Categoria_b_riesgo_intermedio_garantia_idonea,_creditos_y_leasing_de_consumo","categoria_c_riesgo_alto_garantia_idonea,_creditos_y_leasing_de_consumo","categoria_a_riesgo_bajo_garantia_idonea,_creditos_y_leasing_comerciales","categoria_b_riesgo_intermedio_garantia_idonea,_creditos_y_leasing_de_consumo","categoria_c_riesgo_alto_garantia_idonea,_creditos_y_leasing_comerciales",categoria_a_riesgo_bajo_bienes_dados_en_leasing,categoria_b_riesgo_intermedio_bienes_dados_en_leasing,categoria_c_riesgo_alto_bienes_dados_en_leasing,categoria_a_riesgo_bajo_microcreditos_garantia_idonea,categoria_b_riesgo_intermedio_microcreditos_garantia_idonea,categoria_c_riesgo_alto_microcreditos_garantia_idonea
4,128,Nu O Nu Financiera,1,Antioquia,Andina,266,ENVIGADO,2025-09-30,29413060853.0,0.0,0.0,0.0,29588039095.7,792334115.44,2273345392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,15,Magdalena,Caribe,555,PLATO,2025-09-30,81462582.62,0.0,0.0,0.0,84709545.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,52,Bancamía S.A.,25,Arauca,Orinoquía,794,TAME,2025-09-30,10855168454.07,0.0,0.0,0.0,0.0,0.0,0.0,1019194888.42,0.0,0.0,0.0,0.0,0.0,10020048833.66,136475144.38,101980141.44000001
1,59,Leasing Corficolombiana,24,Valle Del Cauca,Pacífica,828,TRUJILLO,2025-09-30,167179877.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159964181.48000002,1204229.97,18767450.19
1,65,Leasing Bolivar,1,Antioquia,Andina,649,SAN CARLOS,2025-09-30,15579709.33,0.0,0.0,0.0,16108885.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,Fondo Nacional Del Ahorro S.A.,1,Antioquia,Andina,45,APARTADO,2025-09-30,18495508317.63,18110844180.260002,328902227.07,816171974.6800001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,11,Cundinamarca,Andina,875,VILLETA,2025-09-30,586499105.44,0.0,0.0,0.0,590380869.19,18725597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,21,Santander,Andina,820,TONA,2025-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,67,Leasing Bancolombia,1,Antioquia,Andina,266,ENVIGADO,2025-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,1,Antioquia,Andina,842,URAMITA,2025-09-30,12986145.16,0.0,0.0,0.0,13379594.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,13,Huila,Andina,524,PALERMO,2025-09-30,554525665.03,0.0,0.0,0.0,556384386.09,18084765.29,35044603.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,58,Coopcentral,1,Antioquia,Andina,999,TOTAL ANTIOQUIA,2025-09-30,74730609470.0,0.0,0.0,0.0,812065848.0,7464247.0,84408803.0,74365418160.0,630331401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,10,Cordoba,Caribe,417,LORICA,2025-09-30,3151449469.28,0.0,0.0,0.0,3195865651.92,59941351.0,14791163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14540241.0
1,12,Banco Gnb Sudameris,18,N. Santander,Andina,1,CUCUTA,2025-09-30,90653272313.81,0.0,0.0,0.0,92901259056.68999,1328895995.11,1540024357.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,60,Banco Mundo Mujer S.A.,8,Cauca,Pacífica,256,EL TAMBO,2025-09-30,10795490351.99,0.0,0.0,0.0,0.0,0.0,0.0,5978751.43,0.0,0.0,0.0,0.0,0.0,10650612594.08,236484640.42,726510762.47
1,51,Ban100 S.A.,18,N. Santander,Andina,128,CACHIRA,2025-09-30,107997450.63,0.0,0.0,0.0,111224242.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,53,Banco W S.A.,22,Sucre,Caribe,215,COROZAL,2025-09-30,3556109113.34,0.0,0.0,0.0,60992147.32,0.0,896045.94,5555652.75,0.0,27108556.85,0.0,0.0,0.0,3469593697.2,7633454.5,68576308.28999999
1,59,Leasing Corficolombiana,20,Risaralda,Andina,687,SANTUARIO,2025-09-30,10417103.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10522326.97,0.0,0.0
1,51,Ban100 S.A.,16,Meta,Orinoquía,251,EL CASTILLO,2025-09-30,48485394.61,0.0,0.0,0.0,50297419.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,7,Caqueta,Amazonía,592,PUERTO RICO,2025-09-30,7111064.78,0.0,0.0,0.0,7352597.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,11,Cundinamarca,Andina,293,GACHALA,2025-09-30,34648049.07,0.0,0.0,0.0,35965604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,15,Magdalena,Caribe,258,EL PI#ON,2025-09-30,70226552.32,0.0,0.0,0.0,72293496.0,0.0,14500645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,15,Magdalena,Caribe,288,FUNDACION,2025-09-30,2088536936.82,0.0,0.0,0.0,2154442147.85,4612718.0,96780636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,121,Financiera Juriscoop C.F.,8,Cauca,Pacífica,1,POPAYAN,2025-09-30,17618772729.85,0.0,0.0,0.0,14212108379.17,595371182.13,482119752.83000004,3553738843.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,24,Valle Del Cauca,Pacífica,890,YOTOCO,2025-09-30,239422553.26,0.0,0.0,0.0,244058946.37,1296367.47,31750046.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,6,Caldas,Andina,653,SALAMINA,2025-09-30,733281622.8,0.0,0.0,0.0,755987039.61,88542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,24,Valle Del Cauca,Pacífica,377,LA CUMBRE,2025-09-30,7214392.78,0.0,0.0,0.0,7447357.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,11,Cundinamarca,Andina,288,FUQUENE,2025-09-30,10448094.69,0.0,0.0,0.0,10747409.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49,Av Villas,12,Choco,Pacífica,1,QUIBDO,2025-09-30,21638894767.66,1251395966.0,105390771.0,24617496.0,20482742786.75,313639373.0,524168606.90999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,11,Cundinamarca,Andina,281,FOSCA,2025-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,13,Huila,Andina,357,IQUIRA,2025-09-30,72674975.62,0.0,0.0,0.0,76533462.58,0.0,884999.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,59,Leasing Corficolombiana,5,Boyaca,Andina,232,CHIQUIZA,2025-09-30,228227411.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214149431.32000002,9617964.49,17023981.73
22,8,Fondo Nacional Del Ahorro S.A.,30,Guainia,Amazonía,999,TOTAL GUAINIA,2025-09-30,5738356016.28,5020584860.94,635645304.76,377058597.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,5,Boyaca,Andina,660,SAN EDUARDO,2025-09-30,8130599.41,0.0,0.0,0.0,8314789.29,0.0,1581944.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,52,Bancamía S.A.,24,Valle Del Cauca,Pacífica,248,EL CERRITO,2025-09-30,6032438729.15,0.0,0.0,0.0,0.0,0.0,0.0,114654175.56,0.0,108727387.87,0.0,0.0,0.0,6292822851.96,108111534.63,278555361.06
1,56,Banco Falabella S.A.,4,Bolivar,Caribe,999,TOTAL BOLIVAR,2025-09-30,44957510856.0,0.0,0.0,0.0,46319087663.0,292982096.0,783172757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,18,N. Santander,Andina,385,LA ESPERANZA,2025-09-30,21114696.89,0.0,0.0,0.0,22774244.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,59,Leasing Corficolombiana,17,Nariño,Pacífica,240,CHACHAGUI,2025-09-30,302828954.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280736119.25,14514069.07,34161325.24
1,51,Ban100 S.A.,16,Meta,Orinoquía,150,CASTILLA LA NUEVA,2025-09-30,31489272.14,0.0,0.0,0.0,32388182.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,Fondo Nacional Del Ahorro S.A.,8,Cauca,Pacífica,999,TOTAL CAUCA,2025-09-30,134707425500.85,133111187828.96,3579269853.78,4019867903.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,6,Caldas,Andina,1,MANIZALES,2025-09-30,3858885712.48,0.0,0.0,0.0,3953069208.64,29409002.23,143626742.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,11,Cundinamarca,Andina,793,TAUSA,2025-09-30,16776757.46,0.0,0.0,0.0,17154740.96,0.0,828793.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,1,Antioquia,Andina,390,LA PINTADA,2025-09-30,7027074.95,0.0,0.0,0.0,7368030.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,5,Boyaca,Andina,22,ALMEIDA,2025-09-30,114965332.03,0.0,0.0,0.0,116812501.03,2004363.67,13968816.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,59,Leasing Corficolombiana,26,Casanare,Orinoquía,999,TOTAL CASANARE,2025-09-30,15140342453.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14997026587.02,118467926.17,590006508.27
1,65,Leasing Bolivar,1,Antioquia,Andina,380,LA ESTRELLA,2025-09-30,1679394545.23,0.0,0.0,0.0,1723687253.3899999,14080458.75,56095721.089999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,8,Cauca,Pacífica,418,LOPEZ,2025-09-30,37884657.39,0.0,0.0,0.0,39274539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,21,Santander,Andina,872,VILLANUEVA,2025-09-30,57611357.29,0.0,0.0,0.0,59412051.91,2152878.37,2413696.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,27,Putumayo,Amazonía,569,PUERTO CAICEDO,2025-09-30,10928602.84,0.0,0.0,0.0,11299800.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,53,Banco W S.A.,29,Amazonas,Amazonía,1,LETICIA,2025-09-30,7497298028.31,0.0,0.0,0.0,104511955.53,0.0,4409577.13,653995622.53,0.0,0.0,0.0,0.0,0.0,6734112267.83,24273009.54,163043924.38
1,59,Leasing Corficolombiana,16,Meta,Orinoquía,568,PUERTO GAITAN,2025-09-30,31550614.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31869307.24,0.0,0.0
1,51,Ban100 S.A.,11,Cundinamarca,Andina,372,JUNIN,2025-09-30,59719136.46,0.0,0.0,0.0,61468495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,59,Leasing Corficolombiana,24,Valle Del Cauca,Pacífica,364,JAMUNDI,2025-09-30,2095495027.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2050402131.4399998,37004081.45,189627384.16
1,51,Ban100 S.A.,28,S. Andres Y Prov.,Insular,564,PROVIDENCIA,2025-09-30,671025284.29,0.0,0.0,0.0,692689308.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,14,Guajira,Caribe,78,BARRANCAS,2025-09-30,65547803.77,0.0,0.0,0.0,67774185.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,11,Cundinamarca,Andina,862,VERGARA,2025-09-30,90671705.16,0.0,0.0,0.0,93802941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,11,Cundinamarca,Andina,320,GUADUAS,2025-09-30,1168286905.0,0.0,0.0,0.0,1202431877.04,0.0,6561455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,56,Banco Falabella S.A.,26,Casanare,Orinoquía,999,TOTAL CASANARE,2025-09-30,10709773750.0,0.0,0.0,0.0,11016532814.0,66694566.0,179813291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,2,Atlantico,Caribe,1,BARRANQUILLA,2025-09-30,58435937625.75,0.0,0.0,0.0,58675601298.46,1760548444.6,6218352995.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,10,Cordoba,Caribe,807,TIERRALTA,2025-09-30,244838924.49,0.0,0.0,0.0,246048951.45,7316086.45,20702069.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,13,Huila,Andina,615,RIVERA,2025-09-30,676568737.12,0.0,0.0,0.0,554093174.29,14151650.0,4978258.53,0.0,0.0,0.0,0.0,0.0,0.0,130893223.73,0.0,6490924.01
4,128,Nu O Nu Financiera,9,Cesar,Caribe,60,BOSCONIA,2025-09-30,479484423.53,0.0,0.0,0.0,478744067.49,22854605.77,19307605.520000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,1,Antioquia,Andina,42,SANTAFE DE ANTIOQUIA,2025-09-30,86747726.97,0.0,0.0,0.0,84290918.26,2856785.26,25164439.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,21,Santander,Andina,867,VETAS,2025-09-30,1450345.46,0.0,0.0,0.0,1487839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,24,Valle Del Cauca,Pacífica,364,JAMUNDI,2025-09-30,8894907727.67,0.0,0.0,0.0,8985138784.55,195626274.75,728220955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,11,Cundinamarca,Andina,851,UTICA,2025-09-30,76314566.42,0.0,0.0,0.0,78227086.31,642642.05,12236832.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,60,Banco Mundo Mujer S.A.,14,Guajira,Caribe,650,SAN JUAN DEL CESAR,2025-09-30,6528099306.63,0.0,0.0,0.0,0.0,0.0,838356.43,316711257.64,0.0,0.0,0.0,0.0,0.0,6049058651.05,252552361.27,455741902.41
1,52,Bancamía S.A.,4,Bolivar,Caribe,430,MAGANGUE,2025-09-30,7935271617.59,0.0,0.0,0.0,0.0,0.0,0.0,213237048.44,0.0,56737661.21,0.0,0.0,0.0,7632344186.69,216078422.0,503533848.43
1,59,Leasing Corficolombiana,11,Cundinamarca,Andina,123,CACHIPAY,2025-09-30,273455166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249582954.89999998,10288720.79,63375697.67
1,65,Leasing Bolivar,10,Cordoba,Caribe,162,CERETE,2025-09-30,249862518.18,0.0,0.0,0.0,256776144.98,0.0,15650625.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,Fondo Nacional Del Ahorro S.A.,32,Vaupes,Amazonía,999,TOTAL VAUPES,2025-09-30,1524242959.57,1488753859.46,0.0,113190781.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,16,Meta,Orinoquía,450,PUERTO CONCORDIA,2025-09-30,120812818.38,0.0,0.0,0.0,124216907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,59,Leasing Corficolombiana,19,Quindio,Andina,548,PIJAO,2025-09-30,366220613.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363831373.89,692618.36,12443706.89
4,128,Nu O Nu Financiera,16,Meta,Orinoquía,999,TOTAL META,2025-09-30,42218129775.74,0.0,0.0,0.0,42564980598.16,1035575717.26,3858496469.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,10,Cordoba,Caribe,660,SAHAGUN,2025-09-30,890229132.4,0.0,0.0,0.0,908971128.84,15761783.37,80640579.02000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,19,Quindio,Andina,401,LA TEBAIDA,2025-09-30,1161655257.37,0.0,0.0,0.0,1153330411.19,51789694.0,11430953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,27,Putumayo,Amazonía,568,PUERTO ASIS,2025-09-30,137197035.86,0.0,0.0,0.0,138389295.96,4336966.28,42922545.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49,Av Villas,1,Antioquia,Andina,615,RIONEGRO,2025-09-30,36169835990.21,0.0,0.0,0.0,34999251841.0,192556321.0,295870141.0,941779906.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,5,Boyaca,Andina,223,CUBARA,2025-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,59,Leasing Corficolombiana,11,Cundinamarca,Andina,754,SOACHA,2025-09-30,303515922.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292506472.24,3309593.77,35379981.510000005
4,128,Nu O Nu Financiera,1,Antioquia,Andina,147,CAREPA,2025-09-30,641797421.46,0.0,0.0,0.0,648392057.87,16081998.64,44422011.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,15,Magdalena,Caribe,58,ARIGUANI,2025-09-30,641929815.95,0.0,0.0,0.0,667112500.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,57,Banco Pichincha S.A.,23,Tolima,Andina,999,TOTAL TOLIMA,2025-09-30,67313655983.53,0.0,0.0,0.0,69330520468.85999,373669365.03,672660243.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,1,Antioquia,Andina,576,PUEBLORRICO,2025-09-30,5891174.23,0.0,0.0,0.0,6091273.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,7,Caqueta,Amazonía,999,TOTAL CAQUETA,2025-09-30,827066521.23,0.0,0.0,0.0,848432630.5,1444138.74,30675968.990000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,5,Boyaca,Andina,600,RAQUIRA,2025-09-30,135593160.5,0.0,0.0,0.0,137744969.25,0.0,7468189.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,59,Leasing Corficolombiana,5,Boyaca,Andina,638,SACHICA,2025-09-30,145313659.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140679118.70999998,4484099.42,7495453.210000001
22,8,Fondo Nacional Del Ahorro S.A.,11,Cundinamarca,Andina,286,FUNZA,2025-09-30,2198564972.34,2267713217.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,118,Crezcamos S.A.,9,Cesar,Caribe,550,PELAYA,2025-09-30,2612272752.36,0.0,0.0,0.0,0.0,0.0,0.0,204291912.31,6309842.74,19611399.69,0.0,0.0,0.0,2405304775.8900003,44822692.08,80281971.21000001
4,128,Nu O Nu Financiera,1,Antioquia,Andina,665,SAN PEDRO DE URABA,2025-09-30,79407836.1,0.0,0.0,0.0,78293082.8,4784653.5,4489743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
